CustomerID,SimilarCustomerID,SimilarityScore
C0001,C0152,0.9840747534870863
C0001,C0047,0.9743347715237054
C0001,C0064,0.9733438868355152
C0002,C0062,0.987956255992672
C0002,C0144,0.971291253404928
C0002,C0159,0.9581070853251884
C0003,C0106,0.9621388024035197
C0003,C0166,0.9202976457032854
C0003,C0091,0.9166636215040813
C0004,C0012,0.9667278429035312
C0004,C0018,0.9605484448837078
C0004,C0075,0.9450002768853323
C0005,C0140,0.9917200040362902
C0005,C0069,0.9522869816711163
C0005,C0199,0.9489593427936944
C0006,C0079,0.9890410958928004
C0006,C0139,0.9714404587450668
C0006,C0187,0.9542973356508766
C0007,C0005,0.9164211120642997
C0007,C0085,0.9163649694370851
C0007,C0146,0.905512396700941
C0008,C0017,0.9945557185905125
C0008,C0113,0.9901571035563307
C0008,C0039,0.9893680138212516
C0009,C0198,0.9456198660166513
C0009,C0130,0.9211282827042557
C0009,C0020,0.9205518031549111
C0010,C0176,0.9779268263374592
C0010,C0142,0.9766706630737021
C0010,C0077,0.9298982046789186
C0011,C0183,0.994214322022158
C0011,C0107,0.9906271604412477
C0011,C0056,0.9742863527527513
C0012,C0018,0.9889951651925906
C0012,C0148,0.9750513578108415
C0012,C0004,0.9667278429035312
C0013,C0099,0.9838017888708841
C0013,C0155,0.9768992533910155
C0013,C0087,0.966059178689114
C0014,C0097,0.9981279389756899
C0014,C0110,0.9489129269367576
C0014,C0060,0.9452528761174569
C0015,C0131,0.9674887609552806
C0015,C0123,0.9289506124458158
C0015,C0080,0.9286046917576328
C0016,C0044,0.9734923611739178
C0016,C0074,0.9719212912718558
C0016,C0040,0.9155354156775655
C0017,C0113,0.998683992256888
C0017,C0008,0.9945557185905125
C0017,C0162,0.9866698411859167
C0018,C0012,0.9889951651925906
C0018,C0004,0.9605484448837078
C0018,C0148,0.9418168189927276
C0019,C0112,0.9443880773987338
C0019,C0191,0.8909034237626632
C0019,C0070,0.8811611003696083
C0020,C0130,0.9976782077607544
C0020,C0009,0.9205518031549111
C0020,C0120,0.9073899237780542
